mod_code	motif	offset	frac_mod_modkit	high_count_modkit	low_count_modkit	mid_count_modkit	log_odds_modkit	total_count	mod_over_total	replicate
m	CG	0	0.83150357	16220399	3286912	5533894	11.520537	25041205	0.647748341	rep1
h	CG	0	0.004197829	92485	21939139	3009581	8.946551	25041205	0.003693313	rep1
m	CA	0	0.002866182	349422	121562572	475428	-5.142087	122387422	0.002855048	rep1
m	CT	0	0.000845	81388	96235801	151469	-6.7197943	96468658	0.000843673	rep1
m	CC	0	0.000622401	38277	61460633	55882	-6.918065	61554792	0.000621836	rep1
h	CA	0	1.46E-05	1789	122311736	73897	-5.144507	122387422	1.46175E-05	rep1
h	CT	0	4.34E-06	419	96448846	19393	-6.723235	96468658	4.34338E-06	rep1
h	CC	0	3.04E-06	187	61546592	8013	-7.016592	61554792	3.03794E-06	rep1
a	A	0	3.74E-08	19	507437520	17495	0	507455034	3.74417E-08	rep1
m	CG	0	0.827505	20046142	4178656	6838624	11.480316	31063422	0.645329481	rep2
h	CG	0	0.005080959	136929	26812511	4113982	8.968785	31063422	0.004408046	rep2
m	CA	0	0.002859865	419517	146271645	621911	-5.1822453	147313073	0.002847792	rep2
m	CT	0	0.000853849	98976	115818509	198354	-6.7412934	116115839	0.00085239	rep2
m	CC	0	0.000617431	45651	73891384	74505	-6.965898	74011540	0.000616809	rep2
h	CA	0	1.75E-05	2571	147213600	96902	-5.1849236	147313073	1.74526E-05	rep2
h	CT	0	5.42E-06	629	116089780	25430	-6.7001953	116115839	5.417E-06	rep2
h	CC	0	3.22E-06	238	74000430	10872	-7.2305546	74011540	3.21571E-06	rep2
a	A	0	4.05E-08	25	616772092	20068	0	616792185	4.05323E-08	rep2
m	CG	0	0.8014995	9742709	2412893	3513282	11.560287	15668884	0.62178704	rep3
h	CG	0	0.004963082	68771	13787740	1812373	9.243637	15668884	0.004389017	rep3
m	CA	0	0.002280125	191492	83791610	293781	-5.2561073	84276883	0.002272177	rep3
m	CT	0	0.000697509	46485	66597784	99850	-6.7829113	66744119	0.000696466	rep3
m	CC	0	0.000484968	21017	43315831	35426	-7.0727386	43372274	0.000484572	rep3
h	CA	0	1.44E-05	1210	84233728	41945	-5.2802954	84276883	1.43574E-05	rep3
h	CT	0	3.90E-06	260	66732654	11205	-6.9917617	66744119	3.89547E-06	rep3
h	CC	0	2.97E-06	129	43367356	4789	-7.1631656	43372274	2.97425E-06	rep3
a	A	0	1.15E-08	4	346496758	12208	0	346508970	1.15437E-08	rep3
m	CG	0	0.83853513	19541662	3762861	6669365	11.553954	29973888	0.651956196	rep4
h	CG	0	0.004267464	111961	26124000	3737927	8.929457	29973888	0.003735285	rep4
m	CA	0	0.002928681	414012	140950653	573746	-5.1643405	141938411	0.002916843	rep4
m	CT	0	0.000896237	100129	111621488	197514	-6.688109	111919131	0.000894655	rep4
m	CC	0	0.000637879	45651	71521168	68846	-6.9375696	71635665	0.000637266	rep4
h	CA	0	1.54E-05	2178	141846884	89349	-5.129003	141938411	1.53447E-05	rep4
h	CT	0	4.25E-06	475	111894240	24416	-6.812791	111919131	4.24414E-06	rep4
h	CC	0	2.89E-06	207	71625734	9724	-7.146755	71635665	2.88962E-06	rep4
a	A	0	8.83E-08	52	588834986	19732	0	588854770	8.8307E-08	rep4
m	CG	0	0.83202475	18921368	3819984	6488939	11.542089	29230291	0.647320548	rep5
h	CG	0	0.004198297	107940	25602485	3519866	8.972423	29230291	0.003692745	rep5
m	CA	0	0.002818686	395557	139938254	562351	-5.192819	140896162	0.002807436	rep5
m	CT	0	0.000844527	93434	110541249	186843	-6.7437	110821526	0.000843103	rep5
m	CC	0	0.000618303	43293	69975770	67709	-6.946876	70086772	0.000617706	rep5
h	CA	0	1.46E-05	2059	140810146	83957	-5.168446	140896162	1.46136E-05	rep5
h	CT	0	4.12E-06	457	110798110	22959	-6.819645	110821526	4.12375E-06	rep5
h	CC	0	2.63E-06	184	70077560	9028	-7.2455916	70086772	2.62532E-06	rep5
a	A	0	7.81E-08	46	588655014	19142	0	588674202	7.81417E-08	rep5
m	CG	0	0.82303226	13713464	2948658	4866311	11.417088	21528433	0.636993134	rep6
h	CG	0	0.005147824	96041	18560580	2871812	8.991751	21528433	0.004461124	rep6
m	CA	0	0.002896309	306701	105587040	423498	-5.084317	106317239	0.002884772	rep6
m	CT	0	0.000869543	72689	83521752	133531	-6.6365423	83727972	0.000868157	rep6
m	CC	0	0.000625987	33679	53767740	48747	-6.8721733	53850166	0.000625421	rep6
h	CA	0	1.73E-05	1838	106243145	72256	-5.161818	106317239	1.72879E-05	rep6
h	CT	0	5.26E-06	440	83708584	18948	-6.7066417	83727972	5.25511E-06	rep6
h	CC	0	3.71E-06	200	53842190	7776	-6.988003	53850166	3.71401E-06	rep6
a	A	0	2.97E-08	13	437232380	20157	0	437252550	2.97311E-08	rep6
