chr	motif	n_pos	n_neg	mean_pos	mean_neg	mean_diff	p_value	padj
NC_133176.1	CA	6	6	0.00727368059107466	0.007381062057913	-0.000107381466838343	0.634808502702116	0.997702042512215
NC_133176.1	CC	6	6	0.00196496314678236	0.00246695698808417	-0.000501993841301806	2.99331773330889e-05	7.65563560210801e-05
NC_133176.1	CT	6	6	0.00322359599494024	0.0032287204812928	-5.12448635256327e-06	0.956038134150686	0.963522057520011
NC_133177.1	CA	6	6	0.00732653422177616	0.00732723726313075	-7.03041354581553e-07	0.997702042512215	0.997702042512215
NC_133177.1	CC	6	6	0.0020614155478923	0.00255895558078704	-0.000497540032894732	3.27480735062208e-05	7.65563560210801e-05
NC_133177.1	CT	6	6	0.00331568580534449	0.0033847567059483	-6.90709006038121e-05	0.477802260214768	0.781527002436066
NC_133178.1	CA	6	6	0.00732037123134434	0.00742461793969653	-0.000104246708352196	0.674115902012683	0.997702042512215
NC_133178.1	CC	6	6	0.00205905069348431	0.00251957292942638	-0.000460522235942078	3.36847966492752e-05	7.65563560210801e-05
NC_133178.1	CT	6	6	0.00365655928904811	0.00373833438252742	-8.17750934793086e-05	0.439615149021937	0.781527002436066
NC_133179.1	CA	6	6	0.00769978287733022	0.00786545465956952	-0.00016567178223931	0.471792452558421	0.997702042512215
NC_133179.1	CC	6	6	0.00228787077294871	0.00280094145451964	-0.000513070681570934	7.6276585355339e-06	7.65563560210801e-05
NC_133179.1	CT	6	6	0.00406329924565674	0.00389648018838109	0.000166819057275652	0.135866017202476	0.437574623196207
NC_133180.1	CA	6	6	0.00769911405049447	0.00784026758242414	-0.000141153531929662	0.642794898889226	0.997702042512215
NC_133180.1	CC	6	6	0.00204113617635135	0.00255424011463835	-0.000513103938286995	0.000694825793663328	0.000751031817895644
NC_133180.1	CT	6	6	0.00339008771759684	0.00355709185155782	-0.000167004133960986	0.140023879422786	0.437574623196207
NC_133181.1	CA	6	6	0.00733507778464391	0.00748454355050263	-0.000149465765858723	0.54621708628667	0.997702042512215
NC_133181.1	CC	6	6	0.00201470332526637	0.00250169498460865	-0.000486991659342273	8.38200354083238e-05	0.000130968805325506
NC_133181.1	CT	6	6	0.00328812671320659	0.00344946553110089	-0.000161338817894304	0.136144778768978	0.437574623196207
NC_133182.1	CA	6	6	0.00768087708848015	0.00771817451844821	-3.72974299680607e-05	0.870534998856171	0.997702042512215
NC_133182.1	CC	6	6	0.00193961401152479	0.00249973623440376	-0.000560122222878971	3.24042556114267e-05	7.65563560210801e-05
