chr	start	end	mean_meth_FB	mean_cov_FB	nCpG_FB	name	mean_meth_WB	mean_cov_WB	nCpG_WB	delta	direction	overlapping_gene_NCBI_ID	overlapping_gene_NCBI_symbol	gene description
NC_133179.1	206524	208032	0.035577665	17.07369615	882	cgi1643	0.907563443	62.58528295	200	-0.871985778	Hypo in FB	393969	gpr19	G protein-coupled receptor 19
NC_133192.1	707735	708148	0.136165236	16.96666667	240	cgi7597	0.908659156	46.87203831	112	-0.77249392	Hypo in FB	100332237	thbs1a	thrombospondin 1a
NC_133200.1	38082428	38082977	0.192979918	10.45285626	229	cgi11180	0.860862531	51.02731093	82	-0.667882612	Hypo in FB	393339;553370	slc5a12;fibina	solute carrier family 5 member 12;fin bud initiation factor a
NC_133177.1	267079	268914	0.231095928	17.39440185	995	cgi635	0.793564185	64.92708334	184	-0.562468257	Hypo in FB	100331906	phlpp1	PH domain and leucine rich repeat protein phosphatase 1
NC_133190.1	2657240	2657443	0.006253189	26.72916667	96	cgi6791	0.540188411	151.1	40	-0.533935221	Hypo in FB	no_gene	no_gene	no_gene
NC_133177.1	50679376	50679580	0.133379543	10.64035088	114	cgi959	0.655551804	10.03571429	28	-0.522172262	Hypo in FB	30532	pax3a	paired box 3a
NC_133197.1	18164430	18164675	0.182669357	12.27192982	114	cgi10001	0.699193327	12.18181818	38	-0.516523971	Hypo in FB	557778	cilp2	cartilage intermediate layer protein 2
NC_133199.1	36652245	36652569	0.083184669	16.07843137	204	cgi10714	0.599401939	60.4375	48	-0.516217269	Hypo in FB	114414	neurod6a	neuronal differentiation 6a
NC_133197.1	34184145	34186372	0.368706745	14.70273369	1062	cgi10071	0.88251108	141.1785714	28	-0.513804335	Hypo in FB	100136872	rbm15b	RNA binding motif protein 15B
NC_133178.1	6384807	6386502	0.00020483	10.58288327	794	cgi1184	0.458080053	56.82977305	277	-0.457875223	Hypo in FB	141381122;336038	LOC141381122;junbb	"uncharacterized LOC141381122;JunB proto-oncogene, AP-1 transcription factor subunit b"
NC_133192.1	806502	807043	0.91680765	15.75776367	347	cgi7599	0.463810931	21.85235507	99	0.452996719	Hyper in FB	571819	zgc:194887	zgc:194887
NC_133189.1	19907012	19907239	0.359773822	11.71111111	90	cgi6495	0.812482657	47.25	28	-0.452708835	Hypo in FB	393347	fgfrl1a	fibroblast growth factor receptor like 1a
NC_133191.1	46138424	46139130	0.001173223	12.95976285	227	cgi7394	0.445086321	60.64958219	107	-0.443913099	Hypo in FB	561994;553275	cep85;mtdhb	centrosomal protein 85;metadherin b
NC_133192.1	56320234	56320470	0.485509865	14.51851852	108	cgi7931	0.066435382	52.4375	32	0.419074484	Hyper in FB	799591	zc2hc1c	"zinc finger, C2HC-type containing 1C"
NC_133192.1	11119308	11119753	0.105735012	10.03148336	236	cgi7679	0.508461744	74.93377976	69	-0.402726733	Hypo in FB	406602;108179745	egln3;LOC108179745	egl-9 family hypoxia-inducible factor 3;uncharacterized LOC108179745
NC_133192.1	58833353	58833645	0.657068512	10.7125	95	cgi7979	0.281229576	24.625	26	0.375838936	Hyper in FB	no_gene	no_gene	no_gene
NC_133195.1	48726561	48726827	0.338372758	11.41464363	100	cgi9176	0.712644094	24.7	42	-0.374271336	Hypo in FB	no_gene	no_gene	no_gene
NC_133196.1	49566418	49567124	0.806231872	13.25353742	299	cgi9709	0.436993177	21.03333333	30	0.369238694	Hyper in FB	321948;569359	ddx46;jade2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46;jade family PHD finger 2
NC_133191.1	35492898	35493262	0.400519945	15.74404762	168	cgi7346	0.763727223	49.01666667	28	-0.363207279	Hypo in FB	137487924;563411	LOC137487924;mms22l	"uncharacterized LOC137487924;MMS22-like, DNA repair protein"
NC_133197.1	10822773	10823464	0.540760731	10.08531233	308	cgi9923	0.903946238	70.375	20	-0.363185506	Hypo in FB	402921	bcor	BCL6 corepressor
NC_133184.1	52746556	52746793	0.339294879	15.41710526	119	cgi4508	0.688502348	31.19444445	39	-0.349207468	Hypo in FB	no_gene	no_gene	no_gene
NC_133179.1	13108311	13108564	0.385405522	15.1993464	107	cgi1811	0.734119781	60.89285715	47	-0.348714259	Hypo in FB	no_gene	no_gene	no_gene
NC_133193.1	21365081	21365612	0.098075898	11	222	cgi8187	0.440092645	89.12222222	39	-0.342016747	Hypo in FB	567457	skor1b	SKI family transcriptional corepressor 1b
NC_133180.1	20022748	20023040	0.827722784	12.11909323	166	cgi2225	0.495424291	78	96	0.332298492	Hyper in FB	100330945	atp8b5a	ATPase phospholipid transporting 8B5a
NC_133183.1	57890525	57890994	0.191568175	13.78378378	222	cgi4089	0.519591301	12.74166667	45	-0.328023127	Hypo in FB	796720;141375930	prdm16;LOC141375930	PR domain containing 16;uncharacterized LOC141375930
NC_133185.1	27280106	27280476	0.661563838	11.85082885	187	cgi4863	0.334552725	52.85	40	0.327011114	Hyper in FB	100002407	nlgn2b	neuroligin 2b
NC_133188.1	30082030	30082267	0.704249938	13.03508772	114	cgi6027	0.377339727	22.125	32	0.326910211	Hyper in FB	no_gene	no_gene	no_gene
NC_133198.1	47986640	47988800	0.64551381	10.58414854	856	cgi10435	0.97184985	83.4375	32	-0.326336039	Hypo in FB	100151157	mepceb	methylphosphate capping enzyme b
NC_133199.1	25662325	25662593	0.361179968	12.20008354	124	cgi10643	0.685030963	95.28125	32	-0.323850996	Hypo in FB	544667	flt1	fms related receptor tyrosine kinase 1
NC_133180.1	613647	615551	0.508741282	17.46914381	804	cgi2089	0.827072423	38.68333333	63	-0.318331141	Hypo in FB	767776	june	"JunE proto-oncogene, AP-1 transcription factor subunit"
NC_133180.1	54048255	54048482	0.451928277	11.35197368	111	cgi2412	0.770215054	17.4	20	-0.318286777	Hypo in FB	393390	arb2a	ARB2 cotranscriptional regulator A
NC_133194.1	46886216	46886444	0.599218412	13.49537037	106	cgi8803	0.914315581	79.52777778	36	-0.315097168	Hypo in FB	566643	lrrc14b	leucine rich repeat containing 14B
NC_133182.1	24043792	24044061	0.844541695	14.03333333	120	cgi3354	0.530182904	71.89980159	31	0.31435879	Hyper in FB	100333297	efs	embryonal Fyn-associated substrate
NC_133197.1	426978	430238	0.682058858	16.83836438	1495	cgi9763	0.371154494	41.44860117	227	0.310904364	Hyper in FB	560426	celsr2	"cadherin, EGF LAG seven-pass G-type receptor 2"
NC_133185.1	50026745	50028193	0.317063175	10.77841007	606	cgi5044	0.013932873	17.17605042	112	0.303130302	Hyper in FB	100331349;100329721	myo18b;cnnm3	myosin XVIIIB;cyclin and CBS domain divalent metal cation transport mediator 3
NC_133191.1	36408771	36409235	0.602382403	18.96354167	192	cgi7359	0.299412056	88.17622378	52	0.302970347	Hyper in FB	no_gene	no_gene	no_gene
NC_133187.1	51664957	51666723	0.055194267	34.4684466	1236	cgi5817	0.354309107	62.02436846	415	-0.29911484	Hypo in FB	103171573;394082	chatb;slc18a3b	choline O-acetyltransferase b;solute carrier family 18 member 3b
NC_133193.1	54127459	54127939	0.557720191	26.95182927	245	cgi8357	0.854207013	43.828125	61	-0.296486823	Hypo in FB	100330789	pdpr	pyruvate dehydrogenase phosphatase regulatory subunit
