chr	start	end	mean_meth_FB	mean_cov_FB	nCpG_FB	name	mean_meth_WB	mean_cov_WB	nCpG_WB	predicted	PI_lower	PI_upper	outside_PI	overlapping_gene_NCBI_ID	overlapping_gene_NCBI_symbol	gene description
NC_133179.1	206524	208032	0.035577665	17.07369615	882	cgi1643	0.907563443	62.58528295	200	0.881810865	0.729565129	1.034056601	TRUE	393969	gpr19	G protein-coupled receptor 19
NC_133192.1	707735	708148	0.136165236	16.96666667	240	cgi7597	0.908659156	46.87203831	112	0.882893918	0.730647985	1.03513985	TRUE	100332237	thbs1a	thrombospondin 1a
NC_133200.1	38082428	38082977	0.192979918	10.45285626	229	cgi11180	0.860862531	51.02731093	82	0.835649571	0.683411823	0.98788732	TRUE	393339;553370	slc5a12;fibina	solute carrier family 5 member 12;fin bud initiation factor a
NC_133177.1	267079	268914	0.231095928	17.39440185	995	cgi635	0.793564185	64.92708334	184	0.769128843	0.616901333	0.921356353	TRUE	100331906	phlpp1	PH domain and leucine rich repeat protein phosphatase 1
NC_133190.1	2657240	2657443	0.006253189	26.72916667	96	cgi6791	0.540188411	151.1	40	0.518680768	0.366478326	0.670883211	TRUE	no_gene	no_gene	no_gene
NC_133177.1	50679376	50679580	0.133379543	10.64035088	114	cgi959	0.655551804	10.03571429	28	0.632711164	0.48049995	0.784922378	TRUE	30532	pax3a	paired box 3a
NC_133199.1	36652245	36652569	0.083184669	16.07843137	204	cgi10714	0.599401939	60.4375	48	0.577210098	0.425003705	0.72941649	TRUE	114414	neurod6a	neuronal differentiation 6a
NC_133197.1	18164430	18164675	0.182669357	12.27192982	114	cgi10001	0.699193327	12.18181818	38	0.675848419	0.523632736	0.828064103	TRUE	557778	cilp2	cartilage intermediate layer protein 2
NC_133197.1	34184145	34186372	0.368706745	14.70273369	1062	cgi10071	0.88251108	141.1785714	28	0.857047977	0.704806616	1.009289338	TRUE	100136872	rbm15b	RNA binding motif protein 15B
NC_133192.1	806502	807043	0.91680765	15.75776367	347	cgi7599	0.463810931	21.85235507	99	0.443185814	0.290986748	0.595384879	TRUE	571819	zgc:194887	zgc:194887
NC_133178.1	6384807	6386502	0.00020483	10.58288327	794	cgi1184	0.458080053	56.82977305	277	0.437521154	0.285322264	0.589720045	TRUE	141381122;336038	LOC141381122;junbb	"uncharacterized LOC141381122;JunB proto-oncogene, AP-1 transcription factor subunit b"
NC_133192.1	56320234	56320470	0.485509865	14.51851852	108	cgi7931	0.066435382	52.4375	32	0.050401848	-0.101810893	0.20261459	TRUE	799591	zc2hc1c	"zinc finger, C2HC-type containing 1C"
NC_133189.1	19907012	19907239	0.359773822	11.71111111	90	cgi6495	0.812482657	47.25	28	0.787828716	0.63559848	0.940058952	TRUE	393347	fgfrl1a	fibroblast growth factor receptor like 1a
NC_133191.1	46138424	46139130	0.001173223	12.95976285	227	cgi7394	0.445086321	60.64958219	107	0.424677562	0.272479029	0.576876095	TRUE	561994;553275	cep85;mtdhb	centrosomal protein 85;metadherin b
NC_133192.1	58833353	58833645	0.657068512	10.7125	95	cgi7979	0.281229576	24.625	26	0.262714145	0.110515304	0.414912985	TRUE	no_gene	no_gene	no_gene
NC_133196.1	49566418	49567124	0.806231872	13.25353742	299	cgi9709	0.436993177	21.03333333	30	0.416677933	0.264479593	0.568876272	TRUE	321948;569359	ddx46;jade2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46;jade family PHD finger 2
NC_133192.1	11119308	11119753	0.105735012	10.03148336	236	cgi7679	0.508461744	74.93377976	69	0.487320696	0.335119892	0.639521501	TRUE	406602;108179745	egln3;LOC108179745	egl-9 family hypoxia-inducible factor 3;uncharacterized LOC108179745
NC_133180.1	20022748	20023040	0.827722784	12.11909323	166	cgi2225	0.495424291	78	96	0.474433888	0.32223366	0.626634117	TRUE	100330945	atp8b5a	ATPase phospholipid transporting 8B5a
NC_133195.1	48726561	48726827	0.338372758	11.41464363	100	cgi9176	0.712644094	24.7	42	0.689143766	0.536926577	0.841360954	TRUE	no_gene	no_gene	no_gene
NC_133188.1	30082030	30082267	0.704249938	13.03508772	114	cgi6027	0.377339727	22.125	32	0.357713764	0.205516185	0.509911344	TRUE	no_gene	no_gene	no_gene
NC_133185.1	27280106	27280476	0.661563838	11.85082885	187	cgi4863	0.334552725	52.85	40	0.315421156	0.163223394	0.467618918	TRUE	100002407	nlgn2b	neuroligin 2b
NC_133191.1	35492898	35493262	0.400519945	15.74404762	168	cgi7346	0.763727223	49.01666667	28	0.739636641	0.587413189	0.891860092	TRUE	137487924;563411	LOC137487924;mms22l	"uncharacterized LOC137487924;MMS22-like, DNA repair protein"
NC_133197.1	10822773	10823464	0.540760731	10.08531233	308	cgi9923	0.903946238	70.375	20	0.878235456	0.725990365	1.030480548	TRUE	402921	bcor	BCL6 corepressor
NC_133182.1	24043792	24044061	0.844541695	14.03333333	120	cgi3354	0.530182904	71.89980159	31	0.508790873	0.356588984	0.660992763	TRUE	100333297	efs	embryonal Fyn-associated substrate
NC_133197.1	426978	430238	0.682058858	16.83836438	1495	cgi9763	0.371154494	41.44860117	227	0.3516	0.199402432	0.503797568	TRUE	560426	celsr2	"cadherin, EGF LAG seven-pass G-type receptor 2"
NC_133184.1	52746556	52746793	0.339294879	15.41710526	119	cgi4508	0.688502348	31.19444445	39	0.665280971	0.513066441	0.817495501	TRUE	no_gene	no_gene	no_gene
