cgi_chr	cgi_start	cgi_end	cgi_id	gene_chr	gene_start	gene_end	gene_id	strand
NC_133176.1	202356	202582	cgi17	NC_133176.1	197056	204293	192301	-
NC_133176.1	202356	202582	cgi17	NC_133176.1	200375	206786	386640	+
NC_133176.1	209002	209325	cgi18	NC_133176.1	206979	214254	100001781	+
NC_133176.1	217779	218037	cgi19	NC_133176.1	215750	224411	550463	+
NC_133176.1	223050	223409	cgi20	NC_133176.1	215750	224411	550463	+
NC_133176.1	229702	230057	cgi21	NC_133176.1	229395	236639	323208	-
NC_133176.1	231338	231652	cgi22	NC_133176.1	229395	236639	323208	-
NC_133176.1	234152	234797	cgi23	NC_133176.1	229395	236639	323208	-
NC_133176.1	235881	236293	cgi24	NC_133176.1	229395	236639	323208	-
NC_133176.1	235881	236293	cgi24	NC_133176.1	234921	241914	393364	-
NC_133176.1	252813	253137	cgi25	NC_133176.1	240911	257173	100332762	-
NC_133176.1	254747	255061	cgi26	NC_133176.1	240911	257173	100332762	-
NC_133176.1	257111	258031	cgi27	NC_133176.1	240911	257173	100332762	-
NC_133176.1	257111	258031	cgi27	NC_133176.1	255789	263607	407680	-
NC_133176.1	308128	308508	cgi28	NC_133176.1	279231	311297	100144570	+
NC_133176.1	316023	316242	cgi29	NC_133176.1	311742	320662	792623	+
NC_133176.1	317918	319443	cgi30	NC_133176.1	311742	320662	792623	+
NC_133176.1	319908	320111	cgi31	NC_133176.1	311742	320662	792623	+
NC_133176.1	319908	320111	cgi31	NC_133176.1	319913	335566	30715	+
NC_133176.1	322159	322401	cgi32	NC_133176.1	319913	335566	30715	+
NC_133176.1	322602	323044	cgi33	NC_133176.1	319913	335566	30715	+
NC_133176.1	326927	327151	cgi34	NC_133176.1	319913	335566	30715	+
NC_133176.1	327784	328083	cgi35	NC_133176.1	319913	335566	30715	+
NC_133176.1	336421	336721	cgi36	NC_133176.1	335659	340327	792477	-
NC_133176.1	358179	358507	cgi37	NC_133176.1	355231	360804	791208	-
NC_133176.1	358179	358507	cgi37	NC_133176.1	357082	360040	100332229	+
NC_133176.1	359605	359828	cgi38	NC_133176.1	355231	360804	791208	-
NC_133176.1	359605	359828	cgi38	NC_133176.1	357082	360040	100332229	+
NC_133176.1	363688	364181	cgi39	NC_133176.1	361556	373876	335153	-
NC_133176.1	363688	364181	cgi39	NC_133176.1	364114	373151	101885776	+
NC_133176.1	385026	385494	cgi40	NC_133176.1	375229	386997	100038778	+
NC_133176.1	392135	392561	cgi41	NC_133176.1	385818	393105	114423	+
NC_133176.1	401069	401467	cgi42	NC_133176.1	393095	401941	282671	+
NC_133176.1	411092	411530	cgi43	NC_133176.1	401879	412290	282670	+
NC_133176.1	421493	421785	cgi44	NC_133176.1	412407	422123	558106	+
NC_133176.1	427610	428087	cgi45	NC_133176.1	422123	429659	492509	-
NC_133176.1	427610	428087	cgi45	NC_133176.1	425844	438958	394002	+
NC_133176.1	463084	463503	cgi46	NC_133176.1	456259	465319	406711	-
NC_133176.1	490057	490290	cgi47	NC_133176.1	483724	497506	564309	+
NC_133176.1	498701	498985	cgi48	NC_133176.1	495688	513231	393749	+
NC_133176.1	527188	527414	cgi49	NC_133176.1	513712	529658	564152	+
NC_133176.1	612634	612958	cgi50	NC_133176.1	587410	614880	335830	-
NC_133176.1	612634	612958	cgi50	NC_133176.1	611575	617830	141383826	+
NC_133176.1	622516	622719	cgi51	NC_133176.1	617903	630646	768180	-
NC_133176.1	643909	644120	cgi52	NC_133176.1	630297	687885	100318936	-
NC_133176.1	685662	686118	cgi53	NC_133176.1	630297	687885	100318936	-
NC_133176.1	693599	693953	cgi54	NC_133176.1	691651	719154	100331669	+
NC_133176.1	785024	785345	cgi55	NC_133176.1	784358	791124	492460	-
NC_133176.1	827861	828869	cgi56	NC_133176.1	827442	835849	101885604	-
NC_133176.1	899360	899569	cgi57	NC_133176.1	895712	940328	58083	-
NC_133176.1	961251	961485	cgi58	NC_133176.1	953798	968292	565145	-
NC_133176.1	962099	962584	cgi59	NC_133176.1	953798	968292	565145	-
NC_133176.1	973366	974187	cgi60	NC_133176.1	968735	1015664	565053	-
NC_133176.1	981928	982440	cgi61	NC_133176.1	968735	1015664	565053	-
NC_133176.1	995551	996687	cgi62	NC_133176.1	968735	1015664	565053	-
NC_133176.1	1355820	1356035	cgi64	NC_133176.1	1350911	1360690	100332351	-
NC_133176.1	1578625	1578829	cgi65	NC_133176.1	1437748	1844189	767777	-
NC_133176.1	1592750	1592973	cgi66	NC_133176.1	1437748	1844189	767777	-
NC_133176.1	1980790	1981064	cgi67	NC_133176.1	1972678	2002624	565999	+
NC_133176.1	2037650	2038145	cgi68	NC_133176.1	2026073	2040105	110439729	-
NC_133176.1	2049002	2049459	cgi69	NC_133176.1	2043817	2269823	58126	-
NC_133176.1	2079440	2079660	cgi70	NC_133176.1	2043817	2269823	58126	-
NC_133176.1	2086818	2087028	cgi71	NC_133176.1	2043817	2269823	58126	-
NC_133176.1	2236473	2236711	cgi72	NC_133176.1	2043817	2269823	58126	-
NC_133176.1	2330939	2331423	cgi73	NC_133176.1	2302501	2333386	100333907	-
NC_133176.1	2330939	2331423	cgi73	NC_133176.1	2329096	2361176	336348	+
NC_133176.1	2357184	2357629	cgi74	NC_133176.1	2329096	2361176	336348	+
NC_133176.1	2398564	2398852	cgi75	NC_133176.1	2396534	2424014	137495381	+
NC_133176.1	2678753	2679087	cgi76	NC_133176.1	2676796	2740380	101884699	+
NC_133176.1	2694997	2695254	cgi77	NC_133176.1	2676796	2740380	101884699	+
NC_133176.1	2716122	2716374	cgi78	NC_133176.1	2676796	2740380	101884699	+
NC_133176.1	2734633	2734875	cgi79	NC_133176.1	2676796	2740380	101884699	+
NC_133176.1	2763127	2763343	cgi80	NC_133176.1	2758154	2767501	100004287	+
NC_133176.1	2929854	2930151	cgi81	NC_133176.1	2838688	2955581	560384	+
NC_133176.1	2960853	2961763	cgi82	NC_133176.1	2959560	2979320	100003903	+
NC_133176.1	2999451	3000014	cgi83	NC_133176.1	2997730	3038882	569455	+
NC_133176.1	3041180	3041707	cgi84	NC_133176.1	3039283	3186459	100329707	+
NC_133176.1	3510405	3510742	cgi86	NC_133176.1	3510322	3518226	141384366	-
NC_133176.1	3510405	3510742	cgi86	NC_133176.1	3508388	3854229	571904	+
