cgi_id	gene_id
cgi100	335098
cgi10000	110438274
cgi10001	557778
cgi10002	141380307
cgi10004	323713
cgi10005	557421
cgi10006	337692
cgi10007	141380308;557285
cgi10008	321842
cgi10009	568052
cgi1001	100008558
cgi10010	568052
cgi10011	568052
cgi10012	568052
cgi10013	568052
cgi10014	141380314
cgi10015	553700
cgi10016	565970
cgi10017	568618
cgi10018	568760;141380318
cgi10019	664768
cgi1002	571425
cgi10020	563181
cgi10021	406712
cgi10022	565854
cgi10023	100000812
cgi10024	141380320
cgi10025	141380320;325221
cgi10026	141380320;406646;564665
cgi10027	564723
cgi10028	565013
cgi10029	564019
cgi1003	141378996
cgi10030	564019
cgi10031	563953
cgi10032	563953
cgi10034	80965;554960
cgi10035	563212;562881
cgi10036	562741;562123
cgi10037	562123
cgi10038	101884238
cgi10039	30749
cgi1004	558563
cgi10040	30749;141380325
cgi10041	141380326
cgi10042	137488931;114482630;100033461
cgi10043	137488931
cgi10044	559154
cgi10045	445223
cgi10046	560720
cgi10047	560720
cgi10048	560720
cgi10049	560720
cgi1005	100534973
cgi10050	560720
cgi10051	141380103
cgi10052	404633
cgi10053	567031
cgi10054	567031
cgi10055	100007251;100005257
cgi10056	445091
cgi10057	102725534
cgi10058	100333702
cgi10059	100333702
cgi1006	553657
cgi10060	100333702;141380291
cgi10061	567109
cgi10062	568138
cgi10063	799294
cgi10064	555476
cgi10065	555476
cgi10066	497540
cgi10067	556762
cgi10068	137488981
cgi10069	141380228;100536057
cgi1007	101884972
cgi10070	100536057
cgi10071	100136872
cgi10077	103909638
cgi10078	558560
cgi10079	558560
cgi1008	101884972
cgi10080	561685
cgi10081	30431
cgi10082	30431
cgi10083	394235
cgi10084	378875
cgi10085	378875
cgi10086	100000896
cgi10087	100000896
cgi10088	557276
cgi10089	557276
cgi1009	393119
cgi10092	141380251;141380246;108181204
cgi10093	141380251
cgi10094	141380251
cgi10095	141380251
cgi10098	562808
cgi10099	562808
cgi101	406206
cgi1010	393119
cgi10100	100329583
cgi10101	100329583
cgi10102	103909645
cgi10103	103909645;378723
cgi10104	103909645
cgi10105	103909645
cgi10106	103909645
cgi10107	103909645
cgi10108	562053
cgi10109	402967
cgi1011	100009648
cgi10110	792998
cgi10111	568008
cgi10112	84702
cgi10113	777758
cgi10114	431719;563808
cgi10115	563808
cgi10116	563887
cgi10117	563887
cgi10118	100003170
cgi10119	100003170
cgi1012	101885373
cgi10120	100003170
cgi10123	553690
cgi10124	571137
cgi10126	30652
cgi10127	570299
cgi10128	570228
cgi10129	100331431
cgi1013	101885373
cgi10130	564478
cgi10131	141380271;141380272
cgi10133	768153;141380607
cgi10134	141380604
cgi10135	30176
cgi10136	798603
cgi10137	100001805;101885863
cgi10138	100001805;101885863
cgi10139	101885863
cgi1014	798602
cgi10140	101885863
cgi10141	101885863
cgi10142	393309
cgi10143	393309
cgi10144	100538306
cgi10145	259190
cgi10146	553453
cgi10147	100000132
cgi10148	100000132
cgi10149	321658
cgi1015	324244
cgi10150	30656
cgi10151	405815
cgi10152	405815
cgi10153	571706
cgi10154	114833
cgi10155	101882554
cgi10156	137489173;359838
cgi10157	100034367
cgi10158	100034367
cgi10159	393404
cgi10161	432371
cgi10162	141380613;561437
cgi10163	561437
cgi10164	100330483
cgi10165	100330483
cgi10166	101886810
cgi10167	30477
cgi10169	373867
cgi10170	373867
cgi10171	334006
cgi10172	100037310;141380616
cgi10173	100037310;141380616
cgi10174	100037310
cgi10175	30210
cgi10177	414843;568830
cgi10178	394120;387006
cgi10179	100332167
cgi1018	117509
cgi10180	101882042
cgi10181	541528;100005189
cgi10182	541528;550414
cgi10183	541528;568110
cgi10184	541528;100334106
cgi10185	541528;100004566
cgi10186	541528;30270
cgi10187	541528;100330283
cgi10188	541528;100330283
cgi10189	567548
cgi1019	117509
cgi10190	100000637
cgi10191	100536287
cgi10192	557567
cgi10193	333991
cgi10194	333991;450079
cgi10195	333991;450079
cgi10196	333991;415227
cgi10197	333991;791209
cgi10198	100150452
cgi10199	402801
cgi102	405901
cgi1020	137488289;30473
cgi10200	335277
cgi10201	323855
cgi10203	30482
cgi10204	100536821
cgi10205	571123
cgi10206	402851
cgi10207	497073
cgi10208	564291
cgi10209	797906
cgi1021	100329872;137488294
cgi10210	561012
cgi10211	561012
cgi10212	561012
cgi10213	797351
cgi10214	564127
cgi10215	368248
cgi10216	100149029
cgi10217	569390
cgi10218	556667
cgi10219	555580
cgi1022	100124531
cgi10220	561420
cgi10222	570537
cgi10223	570537
cgi10224	570537
cgi10225	570579
cgi10226	570652
cgi10227	570652
cgi10228	334283;100073331
cgi10229	100005368
cgi1023	564873
cgi10230	100005368
cgi10231	368491
cgi10232	569344
cgi10233	791170
cgi10234	100192213
cgi10235	767734
cgi10237	141380476;559796;137489111
cgi10238	141380475;137489112
cgi10239	141380475;137489112;100033632
cgi1024	406783
cgi10240	141380475;405780
cgi10241	553216
cgi10242	557842
cgi10243	352933
cgi10244	114401
cgi10245	100334572
cgi10246	100124652
cgi10247	100124652;100149636
cgi10248	566775
cgi10249	562529
cgi1025	406783
cgi10250	558525
cgi10251	558525
cgi10252	558525
cgi10253	324335
cgi10254	324153;323482
cgi10255	100330315
cgi10256	565014
cgi10257	100150502
